price_eth,price_usd,transaction_date,seller_address,background,eyes,mouth,clothes
0.002,2.6415215881072927,2022-09-25T01:34:23,3,3,7,10,16
0.002,2.6415215881072927,2022-09-25T01:34:23,714,21,9,11,16
0.0025,3.301901985134116,2022-09-25T01:34:35,716,0,0,0,16
0.0014,1.849065111675105,2022-09-25T01:34:35,236,15,0,0,16
0.006,7.924564764321879,2022-09-25T01:34:35,857,11,13,4,16
0.015,19.811411910804697,2022-09-25T01:34:35,522,19,0,5,0
2.45,3235.863945431434,2022-09-25T01:34:35,117,20,0,0,23
0.0025,3.301901985134116,2022-09-25T01:34:35,1025,20,9,11,16
0.001,1.3207607940536463,2022-09-25T01:34:35,168,15,0,0,16
0.0025,3.301901985134116,2022-09-25T01:34:59,334,15,0,9,16
0.015,19.811411910804697,2022-09-25T01:34:59,522,21,0,10,0
0.05,66.03803970268233,2022-09-25T01:34:59,179,15,0,0,16
0.0169,22.320857419506623,2022-09-25T01:34:59,543,7,0,13,8
0.25,330.1901985134116,2022-09-25T01:35:47,896,13,0,9,16
0.0027,3.566054143944845,2022-09-25T01:35:47,605,20,6,14,16
0.0169,22.320857419506623,2022-09-25T01:35:47,543,7,7,13,8
0.26,343.3978064539481,2022-09-25T01:35:47,112,15,6,10,18
0.0429,56.66063806490144,2022-09-25T01:36:23,290,11,22,4,16
0.06,79.24564764321879,2022-09-25T01:36:23,993,20,26,11,19
0.0408,53.88704039738877,2022-09-25T01:36:23,181,18,25,4,16
0.0169,22.320857419506623,2022-09-25T01:36:35,543,7,9,13,23
0.29,383.02063027555744,2022-09-25T01:36:47,357,21,24,12,6
0.011,14.52836873459011,2022-09-25T01:36:59,35,17,19,6,25
0.0029,3.8302063027555744,2022-09-25T01:36:59,351,16,6,13,16
0.01,13.207607940536464,2022-09-25T01:36:59,588,15,12,5,14
0.004,5.283043176214585,2022-09-25T01:36:59,539,18,6,11,17
0.0169,22.320857419506623,2022-09-25T01:37:23,543,3,10,11,24
0.006,7.924564764321879,2022-09-25T01:37:35,1040,6,6,17,16
0.002,2.6415215881072927,2022-09-25T01:37:47,22,2,11,17,6
0.02,26.41521588107293,2022-09-25T01:37:59,709,13,15,0,17
0.0169,22.320857419506623,2022-09-25T01:38:11,543,7,10,13,26
0.0445,58.77385533538727,2022-09-25T01:38:59,950,16,9,21,14
0.0023,3.037749826323387,2022-09-25T01:38:59,747,6,10,11,16
0.0039,5.150967096809221,2022-09-25T01:38:59,547,12,6,16,0
2.79,3684.9226154096737,2022-09-25T01:39:11,1002,0,15,17,23
0.0069,9.11324947897016,2022-09-25T01:39:23,994,0,6,0,6
0.0069,9.11324947897016,2022-09-25T01:39:35,616,23,27,11,22
0.028,36.9813022335021,2022-09-25T01:39:35,1013,13,15,0,23
0.0599,79.11357156381342,2022-09-25T01:39:47,777,6,14,10,16
