price_eth,price_usd,transaction_date,seller_address,background,eyes,body,mouth,head,clothes,hair
0.0001,0.14583447413103648,2022-09-18T06:30:47,0x9061b1c3c257e0bec68c210fc15e4f4ee27ecb3c,,,,,,,
0.03,43.75034223931094,2022-09-18T06:30:47,0xa90ef34b3ef9ffdda411beef606c21d8e7c27b36,,,,,,,
0.00785,11.448006219286363,2022-09-18T06:30:47,0x5a8219bd0e75eb9a0ba61d9c4d1e633cfbde7a74,light blue,cry,bored samurai 8,golden,,,
0.03,43.75034223931094,2022-09-18T06:30:47,0xa90ef34b3ef9ffdda411beef606c21d8e7c27b36,,,,,,,
0.03,43.75034223931094,2022-09-18T06:30:47,0xa90ef34b3ef9ffdda411beef606c21d8e7c27b36,,,,,,,
0.03,43.75034223931094,2022-09-18T06:30:47,0xa90ef34b3ef9ffdda411beef606c21d8e7c27b36,,,,,,,
0.0273,39.81281143777296,2022-09-18T06:30:47,0x4f2a8806417e15db744949f84f2d8b4df1ed368f,dark grey,furious,zombie,kiss,zombie,ens tee,blue
0.0064,9.333406344386335,2022-09-18T06:30:47,0x569b6fc2ffa44b72745a69c6090cce919ba3899d,red,egg candy chilli,,strawberry smile,,,lettuce leaf tip
0.0065,9.47924081851737,2022-09-18T06:30:47,0xa7bb217167af341b028f6e52c3135424e188f1ad,yellow,mint leaf,,seaweed arch,,,potato crisp curl
0.0055,8.020896077207006,2022-09-18T06:30:47,0xaaa7154a069a15514a9b7586e115f0fe2531cdd4,red,egg candy chilli,,mint smile,,,lettuce leaf tip
0.0,0.0,2022-09-18T06:31:11,0x1cd4db62b57c3c4a701cc26a88052c693cebece2,,,,,,,
0.032,46.66703172193167,2022-09-18T06:31:11,0xa31102d2f4c612496f50713ba58b7944f9d212a6,,,,,,,
0.029,42.291997498000576,2022-09-18T06:31:11,0x5fb485f420543877826c8a5a76d46b6a5847bb8a,,,,,,,
0.0006,0.8750068447862188,2022-09-18T06:31:11,0x0980f208f2abf3e9f160dde75455ac062414e0fd,,,,,,,
0.069,100.62578715041516,2022-09-18T06:31:11,0x86d9dc3975d01509d5c8cc687d29ace91673e50e,baby blue,,,,dragon head,,
0.0088,12.83343372353121,2022-09-18T06:31:11,0x79b81b520911cc79fbfe18246aadd9c697eab1db,,,,,,,
0.35,510.42065945862765,2022-09-18T06:31:11,0x7a16d97773d27da30a77021e04cdb91d228be7f2,,,,,,,
0.0,0.0,2022-09-18T06:31:23,0x81f2c3c65c2d6707bf7b169ef0a8a6e6428faae9,,,,,,,
