contract_type,contract_address,token_id,asset_type,price,price_usd,marketplace,transaction_date,chain,attributes
ERC721,0xc5b52253f5225835cc81c52cdb3d6a22bc3b0c93,204,ETH,0.0,0.0,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'FRIZE WIT DAT?', 'value': 'sploojyshek n faiweeweng frize'}, {'trait_type': 'SOSSY SOSSEZ', 'value': 'oonikrn sploogie'}, {'trait_type': 'MEEEEEEET', 'value': 'pulld ork dongz'}, {'trait_type': 'MELTYDRIBBLEZ', 'value': 'wale titcheez'}, {'trait_type': 'MOR STUFF ON TOP', 'value': 'krispi dwaggin skalz'}, {'trait_type': 'GRIPPEEBUNZ', 'value': 'krustybutt signachur bumbun'}, {'trait_type': 'Combo #', 'value': '505240'}]"
ERC721,0xcb2411c2b914b000ad13c86027222a797983ef2d,4373,ETH,0.0,0.0,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'Background', 'value': 'Gray'}, {'trait_type': 'Companion', 'value': ''}, {'trait_type': 'Head', 'value': 'Alien'}, {'trait_type': 'Mouth', 'value': 'Roughly Shaved Goatee'}, {'trait_type': 'Hair', 'value': 'Clean Fade'}, {'trait_type': 'Clothing', 'value': 'Pink Suit'}, {'trait_type': 'Eyes', 'value': 'Puppy Eyes'}, {'trait_type': 'Hand Accessories', 'value': 'Cocktail'}, {'trait_type': 'Character', 'value': ''}, {'trait_type': 'Legendary', 'value': ''}]"
ERC721,0x1a2f71468f656e97c2f86541e57189f59951efe7,4854,ETH,0.0,0.0,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'Type', 'value': 'Devil'}, {'trait_type': 'Hat', 'value': 'Headband Red'}, {'trait_type': 'Eyes', 'value': 'Happy Eyes'}, {'trait_type': 'Nose', 'value': 'Normal'}, {'trait_type': 'Clothes', 'value': 'Tank Top Blue B&B'}, {'trait_type': 'Pattern', 'value': 'Flower Pattern'}, {'trait_type': 'Goldchain', 'value': 'Gold Chain Skull'}, {'trait_type': 'Background', 'value': 'Green'}]"
ERC721,0x1a2f71468f656e97c2f86541e57189f59951efe7,4854,ETH,0.0,0.0,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'Type', 'value': 'Devil'}, {'trait_type': 'Hat', 'value': 'Headband Red'}, {'trait_type': 'Eyes', 'value': 'Happy Eyes'}, {'trait_type': 'Nose', 'value': 'Normal'}, {'trait_type': 'Clothes', 'value': 'Tank Top Blue B&B'}, {'trait_type': 'Pattern', 'value': 'Flower Pattern'}, {'trait_type': 'Goldchain', 'value': 'Gold Chain Skull'}, {'trait_type': 'Background', 'value': 'Green'}]"
ERC721,0x1a2f71468f656e97c2f86541e57189f59951efe7,4854,ETH,0.0,0.0,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'Type', 'value': 'Devil'}, {'trait_type': 'Hat', 'value': 'Headband Red'}, {'trait_type': 'Eyes', 'value': 'Happy Eyes'}, {'trait_type': 'Nose', 'value': 'Normal'}, {'trait_type': 'Clothes', 'value': 'Tank Top Blue B&B'}, {'trait_type': 'Pattern', 'value': 'Flower Pattern'}, {'trait_type': 'Goldchain', 'value': 'Gold Chain Skull'}, {'trait_type': 'Background', 'value': 'Green'}]"
ERC721,0x1a2f71468f656e97c2f86541e57189f59951efe7,4854,ETH,0.0,0.0,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'Type', 'value': 'Devil'}, {'trait_type': 'Hat', 'value': 'Headband Red'}, {'trait_type': 'Eyes', 'value': 'Happy Eyes'}, {'trait_type': 'Nose', 'value': 'Normal'}, {'trait_type': 'Clothes', 'value': 'Tank Top Blue B&B'}, {'trait_type': 'Pattern', 'value': 'Flower Pattern'}, {'trait_type': 'Goldchain', 'value': 'Gold Chain Skull'}, {'trait_type': 'Background', 'value': 'Green'}]"
ERC721,0x1a2f71468f656e97c2f86541e57189f59951efe7,4854,ETH,0.0,0.0,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'Type', 'value': 'Devil'}, {'trait_type': 'Hat', 'value': 'Headband Red'}, {'trait_type': 'Eyes', 'value': 'Happy Eyes'}, {'trait_type': 'Nose', 'value': 'Normal'}, {'trait_type': 'Clothes', 'value': 'Tank Top Blue B&B'}, {'trait_type': 'Pattern', 'value': 'Flower Pattern'}, {'trait_type': 'Goldchain', 'value': 'Gold Chain Skull'}, {'trait_type': 'Background', 'value': 'Green'}]"
ERC721,0x1a2f71468f656e97c2f86541e57189f59951efe7,4854,ETH,0.0,0.0,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'Type', 'value': 'Devil'}, {'trait_type': 'Hat', 'value': 'Headband Red'}, {'trait_type': 'Eyes', 'value': 'Happy Eyes'}, {'trait_type': 'Nose', 'value': 'Normal'}, {'trait_type': 'Clothes', 'value': 'Tank Top Blue B&B'}, {'trait_type': 'Pattern', 'value': 'Flower Pattern'}, {'trait_type': 'Goldchain', 'value': 'Gold Chain Skull'}, {'trait_type': 'Background', 'value': 'Green'}]"
ERC721,0x1a2f71468f656e97c2f86541e57189f59951efe7,4854,ETH,0.0,0.0,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'Type', 'value': 'Devil'}, {'trait_type': 'Hat', 'value': 'Headband Red'}, {'trait_type': 'Eyes', 'value': 'Happy Eyes'}, {'trait_type': 'Nose', 'value': 'Normal'}, {'trait_type': 'Clothes', 'value': 'Tank Top Blue B&B'}, {'trait_type': 'Pattern', 'value': 'Flower Pattern'}, {'trait_type': 'Goldchain', 'value': 'Gold Chain Skull'}, {'trait_type': 'Background', 'value': 'Green'}]"
ERC721,0x1a2f71468f656e97c2f86541e57189f59951efe7,4854,ETH,0.0,0.0,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'Type', 'value': 'Devil'}, {'trait_type': 'Hat', 'value': 'Headband Red'}, {'trait_type': 'Eyes', 'value': 'Happy Eyes'}, {'trait_type': 'Nose', 'value': 'Normal'}, {'trait_type': 'Clothes', 'value': 'Tank Top Blue B&B'}, {'trait_type': 'Pattern', 'value': 'Flower Pattern'}, {'trait_type': 'Goldchain', 'value': 'Gold Chain Skull'}, {'trait_type': 'Background', 'value': 'Green'}]"
